ruwana wichqay	cerrar sesión		2_76365
Kunanchasqa Imapa Yanapakuynin	Servicio de actualización de componentes		45073_2542496
Windows Autopilot Deployment	Windows Autopilot Deployment		45074_2542517
Windows Autopilot	Windows Autopilot		45074_2542518
emoji qata	panel de emojis		45078_2543137
Rawkanasqa Qillqana	Lápiz digital		45100_2544667
qillqana llanp'um	textura del lápiz		45101_2544668
Microsoft 365	Microsoft 365		45113_2546253
Paqarichiqkuna Huñusqa	Colección de creadores		45118_2547320
Windows 10 Pro for Workstations	Windows 10 Pro for Workstations		45134_2547479
Business Center	Audioconferencia		45136_2547959
Manukuykuna Rimay	Créditos para comunicaciones		45139_2547962
Chhikisqa	Aventura		45144_2549937
Ñawpaq	Clásico		45145_2549940
K'anchaq	Blanqueado		45146_2549941
Yuraqpas Yanapas	Retrato		45147_2549942
Phutirayay	Tinta		45148_2549943
Pacha paqariy k'achaq	Crepúsculo		45149_2549945
Q'uñi llimpikuna rikchaypaq	Energía		45150_2549970
Chiri llimpikuna	Iceberg		45151_2549985
Q'umiryasqa	Verde hierba		45152_2550010
Surump'ichisqa	Intenso		45153_2550035
Qhachqa	Gastado		45154_2550036
Pichasqa	Nítido		45155_2550037
Chiriyasqa	Relajado		45156_2550038
Illapa	Eléctrico		45157_2550041
T'iwu t'iwu	Arenoso		45158_2550043
Kusisqa	Alegría		45159_2550044
Q'illu llimpi rikchaypi	Cítrico		45160_2550045
Qiklla llimpi rikchaypi	Metálico		45161_2550046
Analogo	1966		45162_2550047
Munasqa	Afecto		45163_2550050
Chhuyu qillqa	Fresco		45187_2550377
Arawi	Poesía		45188_2550381
Yachasqa, hatunpas qillqa	Estruendo		45189_2550383
Hatun qillqa tawak'uchupi	Gráfico		45190_2550385
Aypu ukhun qillqapaq	Discreto		45191_2550387
Musuqllaña qillqa	Urbano		45192_2550388
Multi-Geo	Multi-Geo		45210_2659063
Multi-Geo Capabilities	Multi-Geo Capabilities		45210_2551936
Microsoft 365 Multi-Geo	Microsoft 365 Multi-Geo		45210_2866055
Readiness Toolkit for Office add-ins and VBA	Readiness Toolkit for Office add-ins and VBA		45211_2579517
patachaqta suchuririy	controlador de desplazamiento		45269_2556878
kuychi	arco iris		45282_2556931
tullpup ruwasqan	efecto de entrada de lápiz		45283_2556932
pacha	galaxia		45284_2556933
quri	oro		45285_2556934
qullqi	plata		45286_2556935
chaqru	bronce		45289_2556938
mama qucha	océano		45290_2556941
llamkha quri	oro rosa		45291_2556942
nina	lava		45292_2556943
lliwklliki	efecto		45294_2556950
Windows Mixed Reality Ultra	Windows Mixed Reality Ultra		45305_2556986
Siqipa Qhawaynin	Foco de línea		45544_2567898
kunan pachapi yanapakuy	colaboración en tiempo real		45559_2569039
RTC	RTC		45559_2569040
RTT	RTT		45560_2569042
kunan pachapi qillqachkan	escritura en tiempo real		45560_2569041
kartograma	mapa de coropletas		45561_2569052
Tullpu Llankanakuna tawakuchu	Cuadro de herramientas de entrada de lápiz		45562_2569053
Allichasqa Xbox One X kaqpaq	Mejorado para Xbox One X		45578_2569566
Qunakuspa	Uso compartido		45581_2569585
Thaskikuna	Pasos		45582_2569597
huk laduman tinkuy	enlace unidireccional		45583_2569598
iskay laduman tinkuy	enlace bidireccional		45584_2569599
wataray	desenlazar		45585_2569600
LinkedIn	LinkedIn		45586_2569602
siqisqa qillqanahina	efecto de lápiz		45587_2569603
Kanban	Kanban		45591_2570262
Tikraq	Traductor		45689_2575485
kuchu willariq	indicador de ángulo		45691_2575532
Cortana yachana	Habilidad de Cortana		45789_2579453
Windows Update Empresakunapaq	Windows Update para empresas		45790_2579456
Umayuqnin ciber waqllichiqkunapaq	inteligencia sobre ciberamenazas		45819_2579515
chiqanchay	corregir		45820_2579516
qhawariy qichuyninpaq	revisión para eliminación		45829_2580598
mana allin huntasqa programakuna	campaña de malware		45831_2580607
huk sutiwan llullakuy huntasqa programakunapaq	campaña de suplantación de identidad		45832_2580609
Arariwaynin	Supervisión		45833_2581650
Waqllichiq Qata	Panel de amenazas		45834_2581651
Ruwanakuna	Incidentes		45835_2581653
Microsoft Store Windows 10 kaqpi	Microsoft Store en Windows 10		45843_2582522
Microsoft Store Xbox One kaqpi	Microsoft Store en Xbox One		45844_2582525
Microsoft Store tinkisqa	Microsoft Store en línea		45845_2582527
Nuqa	Yo		45848_2582554
intervalu	rango		45851_2582607
siqipaq imayna kanan	formato lineal		45881_2582938
profesional imayna kanan	formato profesional		45882_2582939
Windows Mixed Reality Tupachiynin	Configuración de Windows Mixed Reality		45941_2588849
Forms Preview	Forms Preview		45946_2589698
tariynin	detección		45951_2589733
Games with Gold	Games with Gold		45954_2589991
Deals with Gold	Deals with Gold		45955_2590250
siq'isiqi	representar gráficamente		45989_2592816
llamkana-wasi-hawapi	fuera de la oficina		46017_2594093
oof	oof		46017_2594095
ooo	ooo		46017_2594094
tinkichisqa siq'isiqi	paquete de contenido		46028_2594504
pakasqa tienda	almacén de secretos		46031_2793216
yupaypa harkaynin	protección de cuentas		46046_2594916
Kutirichisqa willayta ransomware waykaynipaq	Recuperación de datos por ataque de ransomware		46047_2594920
Ransomware harkayninpaq	Protección contra ransomware		46048_2594927
Waqllichiqpa ñawpaq willakuynin	Historial de amenazas		46049_2594936
Viruspa & waqllichiqpa harkaynin kunanchaykuna	Actualizaciones de protección contra virus y amenazas		46050_2594944
Xbox Insider	Xbox Insider		46061_2595007
Xbox Insider Program	Xbox Insider Program		46062_2595010
Xbox Insider Hub	Xbox Insider Hub		46063_2595012
CV Yanapaq	Asistente para CV		46085_2597367
Imayna kawsayniyki Yanapaq	Asistente para currículum vítae		46085_2596471
qhispichiy	liberar		46088_2597368
qhispichisqa	liberado		46089_2597369
waqaychasqa qawana	periodo de reservación		46091_2597389
chanta-pantaykunawan qillqa	informe posterior al incidente		46092_2597391
musuq rantiqpa chiqanyachiynin ñawiriywasipi	biblioteca de autenticación de cliente moderna		46113_2598349
Photos Companion Preview	Photos Companion Preview		46138_2600976
Photos Companion (Preview)	Photos Companion (Preview)		46138_2600973
Microsoft Photos Companion Preview	Microsoft Photos Companion Preview		46138_2599410
Microsoft Photos Companion (Preview)	Microsoft Photos Companion (Preview)		46138_2599412
Companion Preview	Companion Preview		46138_2600983
Companion (Preview)	Companion (Preview)		46138_2600984
Windows HD Color	Windows HD Color		46141_2599431
willaypa tarikuynin	residencia de datos		46143_2599548
takyachiq	estructura		46172_2601954
k'acha pantay	error enriquecido		46176_2601958
iskay qillqaq	trabajar en coautoría		46178_2601960
correo electronicopa dominion	dominio de correo electrónico		46207_2603781
correo electronicopa yanapakuy	servicio de correo electrónico		46209_2603784
correo electronicopa qurpa wasin	hospedaje de correo electrónico		46209_2603785
iñisqa qillqa willakuq	documento de confianza		46211_2603789
spinner	indicador giratorio		46216_2603793
Hunta Local Yachaykuna	Paquete de experiencia local		46218_2604236
Internet Information Services Kamachiq	Administrador de Internet Information Services		46242_2604752
IIS Kamachiq	Administrador de IIS		46242_2604753
rapi chaniyuq ruwanakunawan	ficha de ayuda		46246_2605149
Sasa Cinta	Cinta simplificada		46269_2665749
harkasqa dispositivo	seguridad del dispositivo		46290_2607078
Willaypa Qhawapaynin Qawaq	Visor de datos de diagnóstico		46291_2607088
DDV	DDV		46291_2754412
harkasqa allinchasqa llamkay qallariy	seguridad de inicio de sesión mejorada		46292_2607094
firmware harkaynin	protección de firmware		46293_2607097
harkasqa ruraq	procesador de seguridad		46294_2607107
Apaykachana Wakichanakuna	Planes de datos móviles		46299_2607706
ñawpaqchasqa web imata	modelo predeterminado		46310_2608183
kitipa rimanakuynin	sitio de comunicación		46325_2608792
Cortana Show Me	Cortana, muéstrame		46330_2609539
programay	programar		46337_2609835
yuyaypa llipinkaqnin	integridad de memoria		46341_2610077
Chawpi sapanchaynin	Aislamiento del núcleo		46353_2612185
qutu	conjunto		46354_2612186
tukuypaq qutu	equipo público		46410_2613241
System Guard Windows Harkay	Protección del sistema de Windows Defender		46478_2615062
System Guard	Protección del sistema		46478_2615085
Windows Health Atestacion Yanapakuynimanta	Servicio de atestación de estado de Windows		46479_2615093
Dispositivopa atikuynin & allichaynin	Rendimiento y estado del dispositivo		46481_2615123
Achka Geo wasipi tiyakuq	inquilino multigeográfico		46505_2618212
Microsoft 365 kamachiq kiti	Centro de administración de Microsoft 365		46511_2618261
Yuyayk'ancha Rikchaykunawan	Diccionario de imágenes		46512_2618262
Muduta tukuy	Modo final		46514_2618265
Llamkanapa harkaynin	Protección de aplicaciones		46533_2619438
Wep harkaynin	Protección web		46534_2619566
Script Lab	Script Lab		46556_2619828
sullk'a	menor de edad		46568_2620200
Webman Imprimiy	Imprimir en la Web		46572_2620841
Webman Tikray	Transformar en página web		46572_2707490
OneDrive Kipukuna Mañakuynin	Archivos a petición de OneDrive		46573_2620858
Kipukuna Mañakuynin	Archivos a petición		46573_2621640
qispiy	liberar		46617_2623853
wayka qawasqa kichanata	ataque de difusión de contraseña		46620_2623856
tikrasqa kallpa wayka	ataque de fuerza bruta inversa		46620_2623857
huñunaq kiti	sitio del concentrador		46621_2624295
SharePoint huñunaq kiti	sitio del concentrador de SharePoint		46621_2623858
carrusel	carrusel		46625_2624296
Yaykuna Lliwkllikikuna	Efectos de entrada		46655_2626053
Yaykuna	Entrada		46655_2625515
Lluqsina Lliwkllikikuna	Efectos de salida		46656_2626054
Lluqsina	Salida		46656_2625516
Niypuni Lliwkllikikuna	Efectos de énfasis		46657_2626052
Niypuni	Énfasis		46657_2625517
hawaychay	adopción		46659_2625519
kawsaypi demostracion	demostración en vivo		46662_2625838
kawsaypi demo	demo en vivo		46662_2625837
yuyaynin	inteligencia		46664_2625840
niypuni unanchaypa imayna kasqan	efecto de animación de énfasis		46669_2626048
yaykuna unanchaypa imayna kasqan	efecto de animación de entrada		46670_2626051
unanchaypa imayna kasqan yaykunapaq	efecto de animación de entrada		46670_2638758
correo electronico qatunapaq	correo electrónico de categoría empresarial		46676_2626303
chaski qatunapaq	correo empresarial		46676_2649138
chiqa pachapi willayta	datos en tiempo real		46677_2626304
harkasqa derechos	protegido por derechos		46683_2626653
kipupa churanan	almacenamiento de archivos		46686_2626817
tinkisqa kipupa churanan	almacenamiento de archivos en línea		46687_2626848
tukuy ima llamkanakuna siqi	barra de herramientas contextual		46698_2627238
sapaq rimana	chat privado		46699_2627240
FILTER	FILTRAR		46700_2627242
kuyukuq qatispa ruwanapaq	fórmula dinámica		46708_2627265
Universal 2nd Factor	Universal 2nd Factor		46717_2628469
U2F	U2F		46717_2628468
RANDARRAY	MATRIZALEAT		46718_2629577
SEQUENCE	SECUENCIA		46719_2629578
UNIQUE	UNICOS		46720_2629579
SORTBY	ORDENARPOR		46721_2629580
ÑIQINCHAY	ORDENAR		46722_2629581
SAPA	SIMPLE		46723_2629582
ISFORMULA	ESFORMULA		46724_2629583
tantiy	suplantar		46748_2632160
tantiynin	suplantación		46749_2632166
ciber waqllichiqkuna	ciberamenaza		46753_2632817
willakuy	informe		46761_2632868
harkasqa willakuy	informe de seguridad		46761_2632867
qillqa	transcripción		46765_2632884
Imayna kawsayniyki Ruwaq	Diseñador de curriculum vitae		46813_2635119
OneDrive Dev Center	Centro para desarrolladores de OneDrive		46816_2635223
OneDrive Developer Center	Centro para desarrolladores de OneDrive		46816_2635221
tullpu uyapaq	gesto de lápiz		46835_2636392
wakukuna qillqachkanku	lienzo de escritura		46837_2636580
MIRRORARRAY	INVERTIRMATRIZ		46840_2637139
REDIMENSIONAR	REDIMENSIONAR		46841_2637140
PAQARINA	MATRIZ		46842_2637141
ROWARRAY	FILAAMATRIZ		46843_2637142
COLARRAY	COLUMNAAMATRIZ		46844_2637143
CROPARRAY	RECORTARMATRIZ		46845_2637144
ISSPILL	HAYDESBORDAMIENTO		46846_2637145
SORTINDEX	INDICEORDEN		46847_2637146
SUBSET	SUBCONJUNTO		46848_2637147
Makillawan qillqasqakuna	Anotaciones de lápiz		46849_2637148
UNIQUE.INTL	UNICOS.INTL		46851_2637200
SORTBY.INTL	ORDENARPOR.INTL		46852_2637201
Geografia	Información geográfica		46855_2638181
Ruwaykuna	Cotizaciones		46856_2638182
Akllaq Hapichiy	Selector de registro		46858_2638184
Tinkisqa Qillqasqaman Tikray	Convertir en registro vinculado		46859_2638194
HAPICHIY	GRABAR		46860_2638195
ima	objeto		46861_2638683
OneDrive para la Empresa Multi-Geo Capabilities kaqwan	OneDrive para la Empresa con Multi-Geo Capabilities		46874_2641413
OneDrive Multi-Geo Capabilities kaqwan	OneDrive con Multi-Geo Capabilities		46876_2641415
satelite tarikusqan	ubicación por satélite		46877_2641417
quyllur	marcar con una estrella		46917_2643747
Tupachiynin	Configuración		46921_2643753
Sapanchasqa Rikuchiqkuna	Objetos visuales personalizados		46935_2644209
Windows	Windows		46936_2644325
qawaynin	visualización		46937_2644797
LLAMKAYNIN	FUNCIÓN		46958_2645644
SSGM	SSGM		46964_2646015
yanapakuypa kamachiyniyuq huñupaq	administración de grupos de autoservicio		46964_2646014
ISBLANK	ESBLANCO		46966_2646554
ISTEXT	ESTEXTO		46968_2646636
ISERR	ESERR		46969_2646637
ISLOGICAL	ESLOGICO		46978_2646849
ISNA	ESND		46979_2646851
qillqasqa	registro		46980_2646853
tinkisqa qillqasqa	registro vinculado		46981_2646855
T'inkisqa willaykuna rikchaq	tipo de datos vinculado		46981_2676813
qawanapaq kikllu	galería		47048_2650938
sawaysiq'i ñankunawan	plan de desarrollo		47066_2652220
tullpu tukukuq	vínculo con fecha de expiración		47067_2652223
Churana Yuyaysapa	Inteligencia de buzones		47070_2652274
haykuna willakuy	mensaje de entrada		47077_2652497
churana yuyaysapa	inteligencia de buzones		47078_2652498
Utqhay Qillqana	Edición rápida		47162_2655585
Yuyaykuna	Ideas		47163_2655663
utqhay ruwana	acción rápida		47202_2657122
Kipukuna	Archivos		47204_2657463
Rikchaykuna	Imágenes		47205_2657464
Web	Web		47206_2657465
Yachay	Información		47207_2657949
Tikranakuna	Cambios		47223_2659603
Kunan Tikranakuna	Cambios recientes		47239_2660306
SVG suysu	filtro SVG		47241_2660318
Desplazamiento Saywasiq'i	Asignación de desplazamiento		47243_2660321
Suchuy	Colocación en capas		47244_2660322
Especular Ch'uya	Luz especular		47245_2660323
Ayphu Ch'uya	Iluminación difusa		47246_2660324
patapataspa sapa monitorpaq	escalado por monitor		47291_2661363
Patachaqta Hatunyachiq Kuchurpariy	Lupa del controlador de recorte		47310_2661683
Qillqa Willaykuna	Anotaciones de texto		47311_2661686
Ñitiy Akllaypaq	Pulsar para seleccionar		47312_2661688
muyuriqnin	contorno		47313_2661690
huñupaq kamachiq	coordinador del personal		47321_2662486
puchu	fragmento		47322_2662488
puchu winasqamanta	fragmento de contenido		47322_2800350
Pichay	Limpiar		47324_2662530
huch'uyruraq	microprocesador		47329_2663129
MAKIPURAY	TRANSPONER		47334_2665255
Makipuray	Transponer		47335_2665259
Microsoft Llamkaypa kitin Khuskikunata huñupa llamkanapaq tukukuy	solución de trabajo en equipo de Microsoft Workplace Analytics		47342_2665369
Llamkaypa kitin Khuskikunata huñupa llamkanapaq tukukuy	solución de trabajo en equipo de Workplace Analytics		47342_2665370
Ñawpa Cinta	Cinta clásica		47351_2665766
GCC	GCC		47374_2666484
Government Community Cloud	Government Community Cloud		47374_2669643
ADAL	ADAL		47388_2666654
Azure Active Directory Connect	Azure Active Directory Connect		47396_2666865
Azure AD Connect	Azure AD Connect		47396_2666653
Microsoft Azure Active Directory Connect	Microsoft Azure Active Directory Connect		47396_2666655
chhalla	ligera		47397_2667225
chhalla ima niraq	versión ligera		47398_2667226
radical	radical		47399_2667268
radical gradowan	radical con índice		47400_2667269
miniq hunt'achiy	trama de relleno		47401_2667494
Kutichipusqa Maki	Ignorar la palma		47404_2667497
SA USL kaqmanta	de USL SA		47405_2667500
hunt'a USL	USL completa		47406_2667501
Willaykachay pachata llamkana	Herramienta de parte de horas		47410_2667715
Siqikuna Pichaq	Borrador de trazos		47417_2670622
kantu	borde		47425_2670822
Llamp'u Kantukuna	Bordes suaves		47431_2671226
PhaniTariy	Buscador de disponibilidad		47496_2676672
LTM	ATV		47553_2677035
Tinkisqa Tawla Kamachiq	Administrador de tablas vinculadas		47553_2677036
XLOOKUP	BUSCARX		47597_2679308
XMATCH	COINCIDIRX		47598_2679309
FINDN	ENCONTRARN		47599_2679310
TEXTSLICE	PORCIONTEXTO		47600_2679311
Siqina ruwaynin	Diseño		47623_2680637
Imayna llankanapaq ruway	Disposición		47624_2680638
llamkana mañakuynin	permiso de aplicación		47629_2722560
Qhawarichiykuna	Recomendaciones		47638_2681119
Hamuynin	Próximamente		47643_2681127
imayna kasqan	característica		47660_2681982
Kamaynin Harkaq	Protector de configuración		47661_2681998
Llika Masiyuq Programa	Programa para partners de redes		47662_2682002
Office 365 Llika Masiyuq Programa	Programa para partners de redes de Office 365		47662_2682001
modelu	modelo		47668_2682015
Teams Rooms	Salas de Teams		47768_2794241
simi puyu	nube de palabras		47791_2690479
Microsoft Maskay	Búsqueda de Microsoft		47837_2692800
Maskay	Búsqueda		47837_2692798
Maskay Kaypi	Búsqueda en		47837_2692799
allichakuna	organización		47871_2696318
paqarichiy	crear		47878_2696683
kamachikuna	directorio		47895_2699048
paskapuy	desbloquear		47920_2700296
harkasqa	seguro		47921_2700297
unancha	símbolo		47923_2700684
mana alllin chaskiyuq	correo malintencionado		47930_2701275
Hatun qillqakuna & Sullk'a umachayninkuna	Subtítulos		47969_2706906
Microsoft 365 kawsay qillqakuna & sullk'a umachayninkuna	Subtítulos en vivo de Microsoft 365		47969_2706908
Kawsay Sullk'a umachayninkuna	Subtítulos en vivo		47969_2703059
Qutuy Mudu	Modo en masa		47980_2703682
B2B Yanapay	Colaboración B2B		48000_2703706
B2B	B2B		48000_2703707
minkana yankiynin	canje de invitación		48002_2703711
rapita llamkay qallariy	página de inicio de sesión		48005_2703719
kikin yankiy	canje automático		48006_2703742
yankiy	canjear		48008_2703744
qillqakuy	inscribir		48011_2703749
chiqaqchaynin akllana	opción de verificación		48012_2703753
llamkaypa utaq yachaywasi correo electronicopa maypi kasqan	dirección de correo laboral o educativa		48013_2703754
Tullpu Qillqapi	Entrada de lápiz a texto		48015_2706911
