PERÚ SUYU HATUN KAMAY PIRWA	CONSTITUCIÓN POLÍTICA DEL PERÚ
Watapaq qolqe chaskiy atiy Ley Anual de Presupuesto nisqaman hina	Las transferencias específicas que les asigne la Ley Anual de Presupuesto
Llapa qolqe qonankumanta canon nisqaman hina	Los recursos asignados por concepto de canon
Qolqe imamymanamanta chaskikuyninmanta, chayman yapakun llaqta suyu rantinkayninta, kamachiyman hina	Los recursos provenientes de sus operaciones financieras, incluyendo aquellas que requieran el aval del Estado, conforme a ley
Wakintaq kamachiyman hina	Los demás que determine la ley
Llapa llaqtapi tiyaq runakunatan Municipalidad nisqa yanapan ñaupaqman rinanpaq	Las municipalidades promueven, apoyan y reglamentan la participación vecinal en el desarrollo local
Chaymantapas waqaychanku runaq kausayninta, ichaqa Policía Nacional nisqawan yanapachikuspa, kamachiyman hina	Asimismo brindan servicios de seguridad ciudadana, con la cooperación de la Policía Nacional del Perú, conforme a ley
Capital de la República nisqa llaqtan manan ima huch’uy suyupaqpas churakunchu	La Capital de la República no integra ninguna región
Hinaspa hoq neray kamachiykunan kan chay llaqtapaqqa chay Ley Orgánica de Municipalidades nisqapipas	Tiene régimen especial en las leyes de descentralización y en la Ley Orgánica de Municipalidades
Municipalidad Metropolitana de Lima nisqaqa allaukakun kikin Lima llaqtallapipuni	La Municipalidad Metropolitana de Lima ejerce sus competencias dentro del ámbito de la provincia de Lima
Suyu patapi municipalidades nisqa warayoq wasikunaqa, hinallataqmi aswan hoq neray kamachiymi paykunapaq kan chay Ley Orgánica de Municipalidades nisqa Hatun Qelqa kamachiyninpi	Las municipalidades de frontera tienen, asimismo, régimen especial en la Ley Orgánica de Municipalidades
Llapa Gobiernos Regionales nisqakunaqa kikin qhawarikusqankupin llank’ananku, hinaspa llaqta kamachiyninman hinapuni, chaymi Contraloría General de la República nisqan rikuyta atin ima ruwaynintapas	Los gobiernos regionales y locales son fiscalizados por sus propios órganos de fiscalización y por los organismos que tengan tal atribución por mandato constitucional o legal, y están sujetos al control y supervisión de la Contraloría General de la República, la que organiza un sistema de control descentralizado y permanente
Chay llapa gobierno nisqakunan watantinpaq atinku qolqe mañakuyta llaqta runata ichaqa uyarispa hinaspa willanankun ima ruwasqankutapas, kamachiyman hina	Los mencionados gobiernos formulan sus presupuestos con la participación de la población y rinden cuenta de su ejecución, anualmente, bajo responsabilidad, conforme a ley
HATUN KAMAY PIRWA AMACHAKUYNINKUMANTA	DE LAS GARANTIAS CONSTITUCIONALES
Hatun Kamay Pirwa qayllanpi ima ruway atiykuna	Acciones de Garantía Constitucional
Hatun Kamay Pirwa amachakuyninmi	Son garantías constitucionales
Acción de Hábeas Corpus nisqa mayqen kamachikuqpa, umalliqpa utaq runaq ruwayninpas, mana ruwayninpas, piqpa qespisqa kaynintapas q’estinchstinpas, saruchakunpas Hatun Kamay Pirwaman hina atinmi mañakuyta	La Acción de Hábeas Corpus, que procede ante el hecho u omisión, por parte de cualquier autoridad, funcionario o persona, que vulnera o amenaza la libertad individual o los derechos constitucionales conexos
Amachakuy mañakuyqa, atikunmi mayqen kamachikuqpa, umalliqpa utaq runaq ruwayninpas, mana ruwayninpas, piqpa qespisqa kaynintapas q’estichiqtinpas, saruchakunpas Hatun Kamay Pirwaman hina atinmi mañakuyta ichaqa manan atinmanchu kay qelqapi hamuq ñeqe kaqtin	La Acción de Amparo, que procede contra el hecho u omisión, por parte de cualquier autoridad, funcionario o persona, que vulnera o amenaza los demás derechos reconocidos por la Constitución, con excepción de los señalados en el inciso siguiente
Hinaspatami manan atikullantaqchu sichus allin Paqtachay Wasiq kamachikusqan qhepa. T’aqaspa kay hamuq willakuyman hina	No procede contra normas legales ni contra Resoluciones Judiciales emanadas de procedimiento regular
Habeas Data nisqa mañakuyqa, atikunmi mayqen kamachikuqpa, umalliqpa utaq runaq ruwayninpas, mana ruwayninpas, piqpa qespisqa kaynintapas q’estinchstinpas, saruchakunpas 2 ñeqe, 5 t’aqa hinaspa 6 Hatun Kamay Pirwa kamachiyman hina	La Acción de Hábeas Data, que procede contra el hecho u omisión, por parte de cualquier autoridad, funcionario o persona, que vulnera o amenaza los derechos a que se refiere el artículo 2, incisos 5 y 6 de la Constitución
Hatun Kamay Pirwa mana hunt’akuqtin paqtay mañakuytaqa mana allin apusimi qelqa kaqtin, kamachikuna, osqay ruwaykuna, hawa llaqtakunawan qelqa rimaykuna, Rimana Wasiq kamachiynin, llaqta ukhupi kamachiyninku, hinaspapas llapan warayoq kamachininkuna mana allin kamachiykuna kaqtin atikunmi kay paqtay mañakuytaqa	La Acción de Inconstitucionalidad, que procede contra las normas que tienen rango de ley: leyes, decretos legislativos, decretos de urgencia, tratados, reglamentos del Congreso, normas regionales de carácter general y ordenanzas municipales que contravengan la Constitución en la forma o en el fondo
Acción Popular nisqataqa atinkunmi Hatun Kamay Pirwa saruchasqa kaqtin mana allin apusimi qelqa kaqtin, mayqen kamaqoq kamachi qosqanman qhepa	La Acción Popular, que procede, por infracción de la Constitución y de la ley, contra los reglamentos, normas administrativas y resoluciones y decretos de carácter general, cualquiera sea la autoridad de la que emanen
Chay Acción de Cumplimiento nisqa Paqtay kamachiy ruwakunanqa mayqen kamayoq utaq llank’aq kasunanpaqmi ruwakun kinaspa apusimi kikinmanmi Riqch’akuy, hinaspa atikullantaqmi paqtachay wasipi huchallichiyta apusimiman hina	La Acción de Cumplimiento, que procede contra cualquier autoridad o funcionario renuente a acatar una norma legal o un acto administrativo, sin perjuicio de las responsabilidades de ley
Hoq ley orgánica nisqa paqtay kamachiy Hatun Kamay Pirwata mana kasuqtinku, rantinkaypi ruwakunanpaq ukhunpi kanmi qelqa kamachiyninkuman ruwaynin	Una ley orgánica regula el ejercicio de estas garantías y los efectos de la declaración de inconstitucionalidad o ilegalidad de las normas
Hábeas corpus nisqa ruwayninqa manan tatinchu 137 ñeqe Hatun Kamay Pirwa	El ejercicio de las acciones de hábeas corpus y de amparo no se suspende durante la vigencia de los regímenes de excepción a que se refiere el artículo 137 de la Constitución
Kay allauka saruchasqa kaqtin paqtay churanapaq, chayman hina Paqtachay kamayoq qhawananpaq	Cuando se interponen acciones de esta naturaleza en relación con derechos restringidos o suspendidos, el órgano jurisdiccional competente examina la razonabilidad y la proporcionalidad del acto restrictivo
Manan Paqtachay kamayoq imatapas ninmanchu chay estado de emergencia utaq de sitio nisqamanta imatapas rimayta nitaq mana allinta rimaytapas	No corresponde al juez cuestionar la declaración del estado de emergencia ni de sitio
Tribunal Constitucional nisqa Hatun Kamay Pirwa rikuqmi	El Tribunal Constitucional es el órgano de control de la Constitución
Hinaspa munasqanman hina llank’aqmi	Es autónomo e independiente
Pisqa kamaqokunan llank’anku pisqa watapaq ajllasqa	Se compone de siete miembros elegidos por cinco años
Tribunal Constitucional Nisqakuna ajllasqa kanakupaqmi kikin Vocal de la Corte Suprema nisqa Hatun Paqtay Kamayoq hinapaqmi hunt’anaku	Para ser miembro del Tribunal Constitucional, se exigen los mismos requisitos que para ser vocal de la Corte Suprema
Chay miembros del Tribunal Constitucional nisqa Hatun paqtachaqkunaqa kikin Hatun Rimana Wasiq Apullikunan hina kanku	Los miembros del Tribunal Constitucional gozan de la misma inmunidad y de las mismas prerrogativas que los congresistas
Kasqan ima hark’aykunapaq kikinmi	Les alcanzan las mismas incompatibilidades
Manan llak’ayninkuta tukuruspa pacha yapamanta ajllasqa kayta atinkuchu	No hay reelección inmediata
Chay Tribunal Constitucional nisqa kamachiqninkunaqa ajllasqa kanku Rimana Wasiqpa apullikunaq ajllasqanmi	Los miembros del Tribunal Constitucional son elegidos por el Congreso de la República con el voto favorable de los dos tercios del número legal de sus miembros
Ichaqa manan atinkuchu ajllachikuyta Tribunal Constitucional nisqapi sichus hoq wata qhepa paqtachay ruwayninkumata utaq llaqta Amachaqe kamayoqkunamantapas tatinankunchu karan cheyqa	No pueden ser elegidos magistrados del Tribunal Constitucional los jueces o fiscales que no han dejado el cargo con un año de anticipación
Tribunal Constitucional nisqa Hatun Kamay Pirwa Kamayoq wasi ruwayninmi	Corresponde al Tribunal Constitucional
Reqsiy, sapan paqtachaq kayninpi Kamay Pirwa sarunchasqa paqtachakunanpaq	Conocer, en instancia única, la acción de inconstitucionalidad
Reqsiy, sapan hinaspa pasaqpaqpuni, mana chaskisqa mañakuykuna kaqtin habeas corpus, acción de amparo, y acción de cumplimiento nisqakuna tukukuqtin	Conocer, en última y definitiva instancia, las resoluciones denegatorias de hábeas corpus, amparo, hábeas data, y acción de cumplimiento
Reqsiy mayqen Paqtay Kamayoqmi rikunan paqtachay mañakuykunata, Hatun Kamay Pirwa kamachisqanman hina	Conocer los conflictos de competencia, o de atribuciones asignadas por la Constitución, conforme a ley
Pi runakunan chay Hatun Kamay Pirwa Kamayoq wasi mañakuy churaqkunamanta	Personas facultadas para interponer Acción de Inconstitucionalidad
Hatun Kamay Pirwa mana hunt’aynintaqa mañakunkumanqa	Están facultados para interponer acción de inconstitucionalidad
Suyu Umalliq	El Presidente de la República
Suyu Llaqta Amachaqen	El Fiscal de la Nación
Llaqta Allaukan Amachaqen	El Defensor del Pueblo
Pachaq yuyaymanta iskay chunka ñeqe apullikuna	El veinticinco por ciento del número legal de congresistas
Pisqa waranqa llaqta hatun runakunan sutinku Ajllay Wasiq allin rikusqa. Sichus warayoq Wasi mana allin kamachita qontin, pachaqmanta hoq ñeqe runankunan atin mañakuytapas. Ichaqa manan chay yuyayqa yapakunmanchu chay qalliypi nisqaman hina	Cinco mil ciudadanos con firmas comprobadas por el Jurado Nacional de Elecciones. Si la norma es una ordenanza municipal, está facultado para impugnarla el uno por ciento de los ciudadanos del respectivo ámbito territorial, siempre que este porcentaje no exceda del número de firmas anteriormente señalado
Sapanka llaqtaq umalliqninkunan ichaqa Consejo de Coordinación Regional munayninpi, utaq warayoqkuna yanapaqninku munanyninman hina, ichaqa ruwayninkuna qayllanman hinallapunitaqmi	Los Gobernadores Regionales con acuerdo del Consejo Regional, o los alcaldes provinciales con acuerdo de su Concejo, en materias de su competencia
Kamayoqkunaq Llank’ana Wasin, ichaqa yachasqankuman hinallapuni	Los colegios profesionales, en materias de su especialidad
Tribunal Constitucional nisqa hayrata kamachiy	Sentencia del Tribunal Constitucional
Paqtachay qelqa Tribunal Constitucional nisqa Hatun Paqtay Wasi qosqanqa yachachisqa suyuntaman kanan imaynana mast’ariypi	La sentencia del Tribunal que declara la inconstitucionalidad de una norma se publica en el diario oficial
Mast’arisqa kasqanmanta hoq hamuq p’unchaymanmi qollupun chay kamachiyqa	Al día siguiente de la publicación, dicha norma queda sin efecto
Manan qhepaman rinmanchu paqtachay jkamachiyqa, ni llapanpas nitaq wakillan, hoq kamachiyqa	No tiene efecto retroactivo la sentencia del Tribunal que declara inconstitucional, en todo o en parte, una norma legal
Hawa llaqtakunapi paqtachanankupaq mañakuy	Jurisdicción Supranacional
Tukusqa ña chay paqtachay mañakusqa kaqtin, sichus chay paqtay mana allin qhawasqachu kanaman cheyqa atikullantaqmi hoq hawa llaqtakunapi hawa llaqtakunaman qelqa rimaykunaman Perú suyu llaqtawan hina mañakuyta	Agotada la jurisdicción interna, quien se considere lesionado en los derechos que la Constitución reconoce puede recurrir a los tribunales u organismos internacionales constituidos según tratados o convenios de los que el Perú es parte
HATUN KAMAY PIRWA ALLCHAYMANTA	DE LA REFORMA DE LA CONSTITUCIÓN
Hatun Kamay Pirwa mosoqyachiy	Reforma Constitucional
Ima Hatun Kamay Pirwa allchasqa kanapaqqa llapan apullikuna Hatun Rimana Wasiq munanyninpi, chaytataqmi llaqta rimanakuypi munasqanman	Toda reforma constitucional debe ser aprobada por el Congreso con mayoría absoluta del número legal de sus miembros, y ratificada mediante referéndum
Ichaqa manan llaqta runaq tapuynin kamantaqchu sichus Hatun Rimana Wasi iskay legislatura nisqa huñusqa rimaypi iskay kutita munayninta willanku, sapanka ajllaymi pacha yupaymanta kinsa ñeqe nisqa yupay	Puede omitirse el referéndum cuando el acuerdo del Congreso se obtiene en dos legislaturas ordinarias sucesivas con una votación favorable, en cada caso, superior a los dos tercios del número legal de congresistas. La ley de reforma constitucional no puede ser observada por el Presidente de la República
Hatun Kamay Pirwa allchaypaqqa Perú Suyuq apullinmi ñauparispa mañakunan, ichaqa Hach’awanqo huñunakuspa munayninpi; Apullikuna, hinaspa as ajllay atiq kuraq llaqta runakuna Hatun Rimana Wasipi sutinkuta qelqaspa ajllanku ichaqa allin qhawasqapi	La iniciativa de reforma constitucional corresponde al Presidente de la República, con aprobación del Consejo de Ministros; a los congresistas; y a un número de ciudadanos equivalente al cero punto tres por ciento de la población electoral, con firmas comprobadas por la autoridad electoral
TUKUYKUNAPAQ KAMACHIYKUNA HINALLATAQ NISQAKUNAMANTA	DISPOSICIONES FINALES Y TRANSITORIAS
Regímenes pensionarios nisqa llapan llaqta kamachiypi llank’ay haywaqkunaqpa	Regímenes pensionarios de los Servidores Públicos
Sichus mayqen llank’aqkuna, kamachiykunata mana hunt’ankuchu pensión nisqa qolqe chaskinankupaq cheyqa, churakunankun Sistema Nacional de Pensiones o el Sistema Privado de Administradoras de Fondos de Pensiones nisqaman	Los trabajadores que, perteneciendo a dicho régimen, no hayan cumplido con los requisitos para obtener la pensión correspondiente, deberán optar entre el Sistema Nacional de Pensiones o el Sistema Privado de Administradoras de Fondos de Pensiones
Runakunaq kausaynin rayku, mosoq kamachiykunata kasuspan estado nisqapaq llank’aqkuna chaypi churakunanku, imayna kayniman hina	Por razones de interés social, las nuevas reglas pensionarias establecidas por ley se aplicarán inmediatamente a los trabajadores y pensionistas de los regímenes pensionarios a cargo del Estado, según corresponda
Manan pipas atinchu pensiones nisqa qolqe mallmayta, hinaspapas pisiyachiyta huch’uyachispa astawan Unidad Impositiva Tributaria nisqaman	No se podrá prever en ellas la nivelación de las pensiones con las remuneraciones, ni la reducción del importe de las pensiones que sean inferiores a una Unidad Impositiva Tributaria
Kamachiymi kamachinqa topes de pensiones nisqa yapakunanpaq ichaqa manan puchunanchu hoq Unidad Impositiva Tributaria nisqaman	La ley dispondrá la aplicación progresiva de topes a las pensiones que excedan de una Unidad Impositiva Tributaria
Chay ahorro presupuestal nisqa hamuq mosoq reglas pensionarias nisqamanta n kanqa aswan pisi llank’asqankumanta qolqe chaskiqkunaman yamapanapqmi kanqa, kamachiman hina	El ahorro presupuestal que provenga de la aplicación de nuevas reglas pensionarias será destinado a incrementar las pensiones más bajas, conforme a ley
